,Subject,Start Date,End Date,Start Time,End Time,All Day Event,Location
0,Spain vs. Bulgaria,09/01/2022,09/01/2022,13:30,15:30,False,"Tbilisi Arena, Tbilisi"
1,Turkey vs. Montenegro,09/01/2022,09/01/2022,16:15,18:15,False,"Tbilisi Arena, Tbilisi"
2,Belgium vs. Georgia,09/01/2022,09/01/2022,19:00,21:00,False,"Tbilisi Arena, Tbilisi"
3,Montenegro vs. Belgium,09/03/2022,09/03/2022,13:30,15:30,False,"Tbilisi Arena, Tbilisi"
4,Bulgaria vs. Turkey,09/03/2022,09/03/2022,16:15,18:15,False,"Tbilisi Arena, Tbilisi"
5,Georgia vs. Spain,09/03/2022,09/03/2022,19:00,21:00,False,"Tbilisi Arena, Tbilisi"
6,Bulgaria vs. Montenegro,09/04/2022,09/04/2022,13:30,15:30,False,"Tbilisi Arena, Tbilisi"
7,Spain vs. Belgium,09/04/2022,09/04/2022,16:15,18:15,False,"Tbilisi Arena, Tbilisi"
8,Turkey vs. Georgia,09/04/2022,09/04/2022,19:00,21:00,False,"Tbilisi Arena, Tbilisi"
9,Belgium vs. Turkey,09/06/2022,09/06/2022,13:30,15:30,False,"Tbilisi Arena, Tbilisi"
10,Montenegro vs. Spain,09/06/2022,09/06/2022,16:15,18:15,False,"Tbilisi Arena, Tbilisi"
11,Georgia vs. Bulgaria,09/06/2022,09/06/2022,19:00,21:00,False,"Tbilisi Arena, Tbilisi"
12,Turkey vs. Spain,09/07/2022,09/07/2022,13:30,15:30,False,"Tbilisi Arena, Tbilisi"
13,Bulgaria vs. Belgium,09/07/2022,09/07/2022,16:15,18:15,False,"Tbilisi Arena, Tbilisi"
14,Georgia vs. Montenegro,09/07/2022,09/07/2022,19:00,21:00,False,"Tbilisi Arena, Tbilisi"
15,Bosnia and Herzegovina vs. Hungary,09/01/2022,09/01/2022,14:30,16:30,False,"Lanxess Arena, Cologne"
16,Slovenia vs. Lithuania,09/01/2022,09/01/2022,17:15,19:15,False,"Lanxess Arena, Cologne"
17,France vs. Germany,09/01/2022,09/01/2022,20:30,22:30,False,"Lanxess Arena, Cologne"
18,Germany vs. Bosnia and Herzegovina,09/03/2022,09/03/2022,14:30,16:30,False,"Lanxess Arena, Cologne"
19,Lithuania vs. France,09/03/2022,09/03/2022,17:45,19:45,False,"Lanxess Arena, Cologne"
20,Hungary vs. Slovenia,09/03/2022,09/03/2022,20:30,22:30,False,"Lanxess Arena, Cologne"
21,Lithuania vs. Germany,09/04/2022,09/04/2022,14:30,16:30,False,"Lanxess Arena, Cologne"
22,Slovenia vs. Bosnia and Herzegovina,09/04/2022,09/04/2022,17:45,19:45,False,"Lanxess Arena, Cologne"
23,France vs. Hungary,09/04/2022,09/04/2022,20:30,22:30,False,"Lanxess Arena, Cologne"
24,Bosnia and Herzegovina vs. France,09/06/2022,09/06/2022,14:30,16:30,False,"Lanxess Arena, Cologne"
25,Hungary vs. Lithuania,09/06/2022,09/06/2022,17:15,19:15,False,"Lanxess Arena, Cologne"
26,Germany vs. Slovenia,09/06/2022,09/06/2022,20:30,22:30,False,"Lanxess Arena, Cologne"
27,Lithuania vs. Bosnia and Herzegovina,09/07/2022,09/07/2022,14:30,16:30,False,"Lanxess Arena, Cologne"
